"ID","Name","Catalog practice","Direct DAG nodes","Mapping specificity","Primary domains","All-path domains","Primary families","All-path families","Added in this pass"
"410","Squat with Upward Thumb Tracking","Vestibular rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"411","Squat with Downward Thumb Tracking","Vestibular rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"412","Lateral Lunge with Sideward Thumb Tracking","Vestibular rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"413","March in Place with Sideward Eye Shifts Between Thumbs","Brain-calibration training","neuromotor_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"414","Fixed-Thumb Head Turns","Vestibular rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"415","Fixed-Thumb Head Nods","Vestibular rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"416","Fixed-Thumb Head Tilts","Vestibular rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"417","Narrow Squat and Overhead Reach with Thumb Tracking","Vestibular rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"418","Alternating-Thumb Head Turns","Vestibular rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"419","Vertical Thumb Tracking with Head Nods","Vestibular rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"420","Jumping Jacks","Cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"421","Seal Jacks","Cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"422","Turn Head Left and Right","Active neck mobility","fitness","Domain","fitness","fitness","","","False"
"423","Ear-to-Shoulder Neck Tilts","Active neck mobility","fitness","Domain","fitness","fitness","","","False"
"424","Squat Jacks","Cardio and bodyweight conditioning","calisthenics;fitness_endurance","Practice","fitness","fitness","fitness_endurance;fitness_resistance","fitness_endurance;fitness_resistance","False"
"425","Feet-Together Head Turns","Balance and vestibular training","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"426","Cross Jacks","Cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"427","Split Jacks","Cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"428","Pogo Jumps with Arm Swing","Plyometric conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"429","High-Knee Run in Place","Cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"430","Butt-Kick Run in Place","Cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"431","Bodyweight Jump Squats","Plyometric conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"432","180-Degree Squat Jumps","Plyometric conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"433","Alternating Jumping Lunges","Plyometric conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"434","Lateral Line Hops","Plyometric conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"435","Running High-Knee Punches","Boxing cardio conditioning","boxing;fitness_endurance","Practice","combat;fitness","combat;fitness","combat_striking;fitness_endurance","combat_striking;fitness_endurance","False"
"436","Punch Jacks","Boxing cardio conditioning","boxing;fitness_endurance","Practice","combat;fitness","combat;fitness","combat_striking;fitness_endurance","combat_striking;fitness_endurance","False"
"437","Alternating High-Knee Under-Thigh Claps","Cardio coordination","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"438","Fast Feet with Alternating Straight Punches","Boxing conditioning","boxing","Practice","combat","combat","combat_striking","combat_striking","False"
"439","Pogo Bounces with Fixed-Gaze Head Turns","Vestibular and neck conditioning","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"440","Hook Punches to Tuck Jumps","Boxing and plyometric conditioning","boxing;fitness_endurance","Practice","combat;fitness","combat;fitness","combat_striking;fitness_endurance","combat_striking;fitness_endurance","False"
"441","Hook Punches to Rope-Free Jumps","Boxing and cardio conditioning","boxing;fitness_endurance","Practice","combat;fitness","combat;fitness","combat_striking;fitness_endurance","combat_striking;fitness_endurance","False"
"442","Pogo Bounces with Fixed-Gaze Head Nods","Vestibular and neck conditioning","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"443","Squat Jump with Double Punch","Boxing and plyometric conditioning","boxing;fitness_endurance","Practice","combat;fitness","combat;fitness","combat_striking;fitness_endurance","combat_striking;fitness_endurance","False"
"444","Pogo Bounces with Fixed-Gaze Head Tilts","Vestibular and neck conditioning","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"445","Imaginary Jump Rope with Changing Feet","Rope-free cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"446","Overhead Arm Claps","Upper-body warm-up","fitness","Domain","fitness","fitness","","","False"
"447","Standing Seal Claps","Bodyweight upper-body warm-up","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"448","Tuck Jump with Stick Landing","Plyometric landing mechanics","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"449","Qigong Waist-Twist Body Taps","Qigong","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"450","Vertical Jump with Controlled Landing","Plyometric landing mechanics","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"451","Power Jacks","Plyometric conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"452","Squat Jump with Quarter Turn","Plyometric conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"453","Ski Twists","Plyometric conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"454","Alternating Lateral Bounds with Stick Landings","Plyometric landing mechanics","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"455","High-Impact Standing Mountain Climbers","Bodyweight cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"456","Alternating High-Knee Pulldown Run","Bodyweight cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"457","Switch Lunge Uppercuts","Bodyweight cardio boxing","boxing;fitness_endurance","Practice","combat;fitness","combat;fitness","combat_striking;fitness_endurance","combat_striking;fitness_endurance","False"
"458","Single-Leg Rotational Hops","Plyometric balance conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"459","Goal Post Jacks","Bodyweight cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"460","Jogging in Place with Arm Circles","Bodyweight cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"461","High Knees with Bent-Arm Circles","Bodyweight cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"462","Two-Foot Fake Jump Rope","Rope-free cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"463","Fake Jump Rope with High Knees","Rope-free cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"464","Fake Jump Rope with Heel Taps","Rope-free cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"465","Single-Leg Imaginary Jump Rope","Rope-free cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"466","Alternating Sumo-Squat Stomps","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"467","Look Up and Down","Active neck mobility","fitness","Domain","fitness","fitness","","","False"
"468","Scarecrow Jacks","Bodyweight cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"469","Arm-Circle Jumping Jacks","Bodyweight cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"470","Windmill Jacks","Bodyweight cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"471","Single-Leg Quarter-Turn Jumps with Stick Landings","Plyometric landing mechanics","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"472","Hinge Jumps","Plyometric posterior-chain conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"473","Bouncing Uppercuts","Boxing cardio conditioning","boxing;fitness_endurance","Practice","combat;fitness","combat;fitness","combat_striking;fitness_endurance","combat_striking;fitness_endurance","False"
"474","Head Glide Forward and Back","Active neck mobility","fitness","Domain","fitness","fitness","","","False"
"475","March in Place with Head Turns","Balance and neck mobility","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"476","Single-Side High-Knee Pulls with Hop","Bodyweight cardio conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"477","Feet-Together Head Nods","Balance and neck mobility","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"478","Eye-Tracking Rotational Jumps","Vestibular and visual-motor conditioning","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"479","Cross-Body Punch Jacks","Boxing cardio conditioning","boxing;fitness_endurance","Practice","combat;fitness","combat;fitness","combat_striking;fitness_endurance","combat_striking;fitness_endurance","False"
"480","Three-Part Arm Inhale with Forceful Fold Exhale","Breath-led yoga","somatics_yoga","Family","somatics","somatics","somatics_yoga","somatics_yoga","False"
"481","Head Glide Side to Side","Active neck mobility","fitness","Domain","fitness","fitness","","","False"
"482","Feet-Together Head Tilts","Balance and neck mobility","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"483","Standing Diagonal Head Turns","Active neck mobility","fitness","Domain","fitness","fitness","","","False"
"484","Goddess Squat with Lion's Breath","Yoga breathing","somatics_yoga","Family","somatics","somatics","somatics_yoga","somatics_yoga","False"
"485","Cupped-Palm Armpit Tapping","Eight Nests qigong","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"486","Bent-Over Back-of-Knee Tapping","Eight Nests qigong","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"487","Squat-Jack Uppercuts","Bodyweight cardio boxing","boxing;fitness_endurance","Practice","combat;fitness","combat;fitness","combat_striking;fitness_endurance","combat_striking;fitness_endurance","False"
"488","Single-Leg Vertical Jump with Stick Landing","Plyometric landing mechanics","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"489","Standing Side-Leg Tapping Roll-Down","Qigong body tapping","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"490","Track One Thumb Side to Side","Oculomotor rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"491","Keep Eyes on Thumb While Nodding","Vestibular rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"492","Track One Thumb Up and Down","Oculomotor rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"493","Track Finger Upper-Right to Lower-Left","Oculomotor rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"494","Front Clap with Backward Arm Swing","Shoulder mobility","fitness","Domain","fitness","fitness","","","False"
"495","Track Finger Toward and Away from Nose","Oculomotor rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"496","Standing Wide-Arm Claps","Chest and shoulder mobility","fitness","Domain","fitness","fitness","","","False"
"497","Eyebrow Raise","Facial movement exercise","neuromotor_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"498","Firm Eye Closure","Facial movement exercise","neuromotor_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"499","Track Finger in a Near-Far Spiral","Oculomotor rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"500","Straight Jaw Opening","Jaw mobility","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"501","Keep Eyes on Thumb While Turning Head","Vestibular rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"502","Standing Levator-Scapulae Stretch","Clinical stretching","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"503","Overhead-Assisted Upper-Trapezius Stretch","Clinical stretching","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"504","Hands-on-Head Posterior-Neck Stretch","Clinical stretching","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"505","Jaw Side-to-Side Glides","Jaw mobility","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"506","Jaw Forward Glide and Relax","Jaw mobility","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"507","Single-Side Knee Raise with Elbow Pull","Standing upper-back conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"508","Side-Step with Two-Arm Overhead Reach","Standing upper-body conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"509","Split-Stance Lunge Pulse with Overhead Reach","Standing bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"510","Clasped-Hands Chest-Opening Forward-Fold Hold","Standing bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"511","Lip Pucker","Facial movement exercise","neuromotor_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"512","Standing Upper-Back and Neck Hug Stretch","Standing yoga","somatics_yoga","Family","somatics","somatics","somatics_yoga","somatics_yoga","False"
"513","Single-Leg Head Nods","Vestibular rehabilitation","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"514","Symmetric Smile","Facial movement exercise","neuromotor_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"515","One-Eyebrow Isolation Practice","Facial action isolation","mime","Practice","performance","performance","performance_theatre","performance_theatre","False"
"516","Bent-Elbow Shoulder Circles","Shoulder mobility","fitness","Domain","fitness","fitness","","","False"
"517","Standing Breath of Joy with Ha Exhale","Yoga breathing","somatics_yoga","Family","somatics","somatics","somatics_yoga","somatics_yoga","False"
"518","Standing Throat Hee Laughter","Laughter yoga","somatics_yoga","Family","somatics","somatics","somatics_yoga","somatics_yoga","False"
"519","Standing Yes Pullbacks","Laughter yoga","somatics_yoga","Family","somatics","somatics","somatics_yoga","somatics_yoga","False"
"520","Silent Vowel-Shape Sequence","Speech articulation practice","vocal_breath_movement_work","Practice","somatics","somatics","somatics_breath","somatics_breath","False"
"521","Smile-to-Neutral Transitions","Acting facial-expression control","mime","Practice","performance","performance","performance_theatre","performance_theatre","False"
"522","Tutting Box Sequence","Tutting","hip_hop_freestyle","Practice","dance","dance","dance_urban","dance_urban","False"
"523","Arm-Wave Isolation Practice","Popping and waving","popping","Practice","dance","dance","dance_urban","dance_urban","False"
"524","Front Double-Biceps Pose Hold","Bodybuilding posing","bodybuilding","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"525","Front Lat-Spread Pose Hold","Bodybuilding posing","bodybuilding","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"526","Side-Chest Pose Hold","Bodybuilding posing","bodybuilding","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"527","Side-Triceps Pose Hold","Bodybuilding posing","bodybuilding","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"528","Abdominals-and-Thighs Pose Hold","Bodybuilding posing","bodybuilding","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"544","Standing Overhead Slam","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"572","Standing Side-Lunge Adductor Stretch","Standing stretching","fitness","Domain","fitness","fitness","","","False"
"573","Backs-of-Hands Wrist Stretch","Wrist mobility","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"576","Side-Step Rainbow Reach","Low-impact conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"577","Single-Side Standing Side-Leg Raise with Side Reach","Low-impact conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"588","Belly-Dance Alternating Shoulder Rolls","Belly dance","belly_dance_raqs_sharqi","Practice","dance","dance","dance_middle_east","dance_middle_east","False"
"591","Shadow Boxing","Boxing","boxing","Practice","combat","combat","combat_striking","combat_striking","False"
"608","Hip Circles","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"609","First-Position Plié Squat and Rise","Ballet conditioning","ballet","Practice","dance","dance","dance_stage","dance_stage","False"
"610","Warrior II Hold","Yoga","somatics_yoga","Family","somatics","somatics","somatics_yoga","somatics_yoga","False"
"611","Wide-Stance Hip Circles","Standing mobility","fitness","Domain","fitness","fitness","","","False"
"612","Standing Lateral Leg Lift","Bodyweight strength","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"613","Balance March","Balance training","fitness","Domain","fitness","fitness","","","False"
"614","Alternating Reinforced Forearm Blocks","Martial-arts conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"615","Hamstring Curl with Prayer Hands","Standing pelvic mobility","fitness","Domain","fitness","fitness","","","False"
"616","Standing Overhead Chop","Standing mobility","fitness","Domain","fitness","fitness","","","False"
"617","Standing Forward Side-Leg Circles","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"618","Single-Side High-Knee Hold with Side Reach","Standing balance and mobility","fitness","Domain","fitness","fitness","","","False"
"619","Squat with Forward Scoop","Standing pelvic-floor movement","fitness","Domain","fitness","fitness","","","False"
"620","Standing Backward Side-Leg Circles","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"625","Standing Roll-Down with Halfway Lift","Standing Pilates","somatics_pilates","Family","somatics","somatics","somatics_pilates","somatics_pilates","False"
"626","Sumo Squat Hold","Sumo","sumo","Practice","combat","combat","combat_grappling","combat_grappling","False"
"632","Hip-Flexor Side Stretch","Stretching","fitness","Domain","fitness","fitness","","","False"
"636","Curtsy-Lunge Hold","Bodyweight isometrics","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"647","Alternating Knee Lift with Overhead Reach","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"648","Standing Back-Leg Lift","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"649","Standing Bent-Knee Hip Abduction","Standing conditioning","fitness","Domain","fitness","fitness","","","False"
"654","Single-Side Leg Lift to Overhead Knee Drive","Standing strength and balance","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"666","Ballet Arabesque","Ballet","ballet","Practice","dance","dance","dance_stage","dance_stage","False"
"677","Bent-Elbow Reverse-Fly Hold","Upper-back isometrics","fitness_resistance","Family","fitness","fitness","fitness_resistance","fitness_resistance","False"
"678","Overhead Arm Figure Eight","Standing bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"681","Muay Thai Downward Elbow Strike","Muay Thai","muay_thai","Practice","combat","combat","combat_striking","combat_striking","False"
"683","Alternating Palm-Up Shoulder Rotations","Shoulder mobility","fitness","Domain","fitness","fitness","","","False"
"684","Knee Strike to Horizontal Elbow Strike","Martial-arts conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"685","Static-Stance Karate Reverse Punch","Karate","karate","Practice","combat","combat","combat_striking","combat_striking","False"
"686","Standing Knee-to-Chest Glute Stretch","Stretching","fitness","Domain","fitness","fitness","","","False"
"687","Horse-Stance Alternating Straight Punches","Karate conditioning","karate","Practice","combat","combat","combat_striking","combat_striking","False"
"712","Standing Arms-Back Chest-Opener Hold","Standing mobility and stretching","fitness","Domain","fitness","fitness","","","False"
"733","Alternating Side Lunge with Chest Push","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"740","Clasped-Hand Upper-Back Stretch","Stretching","fitness","Domain","fitness","fitness","","","False"
"741","Cross-Body Shoulder Stretch","Stretching","fitness","Domain","fitness","fitness","","","False"
"742","Overhead Triceps Stretch","Stretching","fitness","Domain","fitness","fitness","","","False"
"743","Standing Large Arm Circles","Shoulder mobility","fitness","Domain","fitness","fitness","","","False"
"744","Standing Figure-Four Glute Stretch","Stretching","fitness","Domain","fitness","fitness","","","False"
"745","One-Arm Curl Against Other Hand","Self-resistance","fitness_resistance","Family","fitness","fitness","fitness_resistance","fitness_resistance","False"
"746","Staggered Calf-and-Ankle Stretch","Stretching","fitness","Domain","fitness","fitness","","","False"
"747","Standing Quad Stretch","Stretching","fitness","Domain","fitness","fitness","","","False"
"748","Alternating Wide-Stance Groin-Hamstring Shift","Stretching","fitness","Domain","fitness","fitness","","","False"
"750","Heel-Forward Hamstring Stretch","Stretching","fitness","Domain","fitness","fitness","","","False"
"751","Neck Side Stretch","Stretching","fitness","Domain","fitness","fitness","","","False"
"752","Straight-Arm Wrist Stretch","Stretching","fitness","Domain","fitness","fitness","","","False"
"755","Outward Wrist Circles","Hand mobility","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"756","Outward Controlled Wrist Circles","Wrist mobility","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"758","Backward Knee-and-Ankle Circles","Standing bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"784","Extended Mountain Pose","Yoga","somatics_yoga","Family","somatics","somatics","somatics_yoga","somatics_yoga","False"
"804","Alternating Arms-Spread Torso Twist","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"816","Side-Step Overhead Reach","Standing core conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"818","Standing Cat-Cow","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"825","Alternating Deadlift with Body Twist","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"831","Alternating Knee-Up Reverse Fly","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"834","Single-Side Diagonal Knee Drive with Overhead Pull","Standing upper-body conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"836","Squat with Back Squeeze","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"843","Arm-Behind-Back Assisted Side Neck Stretch","Clinical stretching","healing_rehab","Family","healing","healing","healing_rehab","healing_rehab","False"
"845","Alternating Overhead Side Stretch","Standing mobility and stretching","fitness","Domain","fitness","fitness","","","False"
"884","Boxing Slip","Boxing","boxing","Practice","combat","combat","combat_striking","combat_striking","False"
"885","Boxing Roll","Boxing","boxing","Practice","combat","combat","combat_striking","combat_striking","False"
"886","Boxing Duck","Boxing","boxing","Practice","combat","combat","combat_striking","combat_striking","False"
"887","Boxing Pullback","Boxing","boxing","Practice","combat","combat","combat_striking","combat_striking","False"
"905","Wide-Plié Alternating Side Bend","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"906","Alternating Cross-and-Side Crunch","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"910","Standing Pilates Knee-Lift Twist","Pilates","somatics_pilates","Family","somatics","somatics","somatics_pilates","somatics_pilates","False"
"914","Alternating Diagonal Knee Pull-Down","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"915","Single-Side Split-Stance Knee Drive with Overhead Reach","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"939","Hinge-to-Knee Drive","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"943","Alternating Knee-Up Arms Raise","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"948","Standing Wood Chop","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"949","Standing Reverse Wood Chop","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"954","Alternating Torso Rotation with Side Reach","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
"958","Standing Alternating Side Bend","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"960","Alternating Heel Tap with Opposite Hand","Fundamental movement skills","fundamental_movement_skills","Practice","education","education","education_methods","education_methods","False"
"962","Alternating Standing Knee-to-Elbow Crunch","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"969","Chair-Pose Hold","Yoga","somatics_yoga","Family","somatics","somatics","somatics_yoga","somatics_yoga","False"
"971","Wide-Squat Alternating Knee Raise","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"973","Alternating Reverse-Lunge Torso Twist","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"986","Deep-Squat Side-to-Side Shift","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"987","Wide-Plié Alternating Heel Lifts","Ballet conditioning","ballet","Practice","dance","dance","dance_stage","dance_stage","False"
"996","Partial Pistol Squat","Calisthenics","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"997","Bottom Pistol Squat Hold","Calisthenics","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"998","Deep-Squat Thoracic Rotation","Deep-squat mobility","fitness","Domain","fitness","fitness","","","False"
"999","Deep-Squat Walk","Deep-squat locomotion","fitness","Domain","fitness","fitness","","","False"
"1000","Standing Forward-Fold Hold","Standing mobility and movement practice","fitness","Domain","fitness","fitness","","","False"
